Time Taken(ms), FPS
1.161, 2870.099
0.1388, 14.19705
0.012, 15.0353
0.0322, 16.42027
0.0221, 18.04225
0.0167, 19.76612
0.0106, 21.7021
0.0228, 23.55123
0.0116, 25.71314
0.0125, 27.98956
0.0147, 30.40591
0.0112, 33.2803
0.0112, 35.50208
0.0165, 38.64152
0.0102, 42.08538
0.0108, 45.41395
0.0102, 48.7753
0.0203, 52.6548
0.0101, 56.01328
0.0289, 60.37383
0.0258, 65.06078
0.0113, 69.9403
0.0121, 74.55583
0.0164, 80.39658
0.0124, 85.22369
0.0112, 89.38217
0.0101, 96.93452
0.0116, 101.5108
0.0106, 108.4456
0.0117, 115.9173
0.0103, 122.6466
0.0204, 131.2967
0.027, 137.4882
0.0268, 140.916
0.0115, 145.3112
0.0119, 152.428
0.02, 161.4844
0.0124, 166.2499
0.0295, 175.0103
0.0127, 180.59
0.0234, 187.9112
0.0308, 192.6472
0.0858, 188.7019
0.013, 191.8419
0.0282, 191.3003
0.0122, 196.9079
0.0206, 205.4762
0.0154, 206.2996
0.0237, 214.6071
0.0164, 212.3941
0.0156, 208.1384
0.0268, 209.7202
0.0156, 216.0008
0.0107, 219.1728
0.0119, 226.9844
0.0144, 229.2137
0.0125, 235.9522
0.025, 242.0005
0.0168, 241.9831
0.0539, 233.944
0.0153, 234.1068
0.0145, 233.3652
0.0119, 236.294
0.0116, 243.285
0.0151, 244.8919
0.0234, 247.813
0.0111, 243.9476
0.027, 237.5665
0.013, 234.3071
0.0122, 233.9207
0.0116, 241.111
0.0146, 239.8127
0.0257, 240.6161
0.0104, 243.78
0.0157, 245.8596
0.0115, 252.6556
0.0134, 252.6841
0.0125, 252.9686
0.0157, 251.1418
0.0216, 244.5315
0.0111, 239.5504
0.0124, 241.2238
0.016, 247.6157
0.013, 247.9627
0.0125, 255.004
0.0127, 258.1973
0.0116, 258.1953
0.047, 251.7527
0.0147, 246.5223
0.0115, 250.7356
0.1296, 250.5256
0.0204, 253.6051
0.0154, 251.5601
0.0432, 236.6945
0.0117, 220.6429
0.0144, 225.4442
0.0115, 217.5479
0.0116, 215.2139
0.0121, 222.9045
0.0182, 219.2067
0.0123, 213.2754
0.0123, 217.1352
0.0111, 201.7873
0.0185, 211.2141
0.01, 208.0798
0.0128, 217.1013
0.0125, 208.9921
0.0155, 209.9
0.0141, 202.538
0.03, 201.597
0.0262, 193.2112
0.0216, 187.2342
0.0221, 187.2311
0.0137, 183.6313
0.0171, 181.9361
0.0113, 178.6365
0.0253, 163.4095
0.031, 164.7923
0.0116, 167.2668
0.0116, 167.1843
0.0105, 163.0858
0.0116, 156.7743
0.0106, 155.8757
0.0098, 158.677
