Time Taken(ms), FPS
0.0447, 1167.57
0.0344, 43.68294
0.0138, 41.01523
0.0377, 42.30595
0.0527, 44.21628
0.0135, 45.88086
0.0149, 47.51902
0.0232, 50.27155
0.014, 51.37418
0.0118, 54.17651
0.0343, 56.29753
0.0133, 57.78934
0.0159, 59.79017
0.0173, 61.76682
0.0128, 62.76267
0.0155, 63.53691
0.0173, 66.09514
0.0151, 66.04294
0.0141, 68.52592
0.0148, 72.2883
0.0163, 73.40146
0.0166, 75.54932
0.0213, 79.03609
0.0191, 79.00771
0.0236, 78.20587
0.0157, 78.71668
0.0138, 80.88606
0.0161, 78.58138
0.0127, 79.05198
0.0167, 77.63864
0.0165, 73.82332
0.0126, 73.4299
0.0147, 73.39898
0.0249, 75.7744
0.0375, 76.85732
0.0161, 77.71311
0.0455, 80.84181
0.0136, 83.32664
0.0335, 85.61338
0.0179, 87.24637
0.02, 90.16348
0.0145, 92.66905
0.0157, 95.99232
0.0615, 97.68592
0.0253, 99.55608
0.0373, 101.1247
0.0287, 105.7696
0.0243, 108.4241
0.0135, 104.425
0.035, 105.4814
0.0327, 109.4862
0.0187, 110.404
0.0159, 106.6926
0.0221, 106.7487
0.014, 107.4906
0.0134, 101.9654
0.013, 103.3286
0.0224, 104.0108
0.0373, 104.2497
0.0267, 101.9508
0.0136, 104.7996
0.0189, 106.2556
0.0492, 108.9873
0.0271, 106.6671
0.0454, 109.0716
0.0155, 110.9964
0.0132, 110.493
0.0189, 111.8843
0.0154, 111.7718
0.0142, 110.3155
0.0143, 113.3527
0.0652, 115.366
0.0169, 114.8938
0.0125, 117.1905
0.0379, 118.1594
0.0343, 115.5441
