Time Taken(ms), FPS
0.0877, 2847.542
0.0486, 45.00048
0.0221, 46.21765
0.0256, 50.1544
0.0246, 54.45643
0.0266, 59.42931
0.0322, 64.12652
0.03, 69.72103
0.0215, 75.15007
0.023, 81.32027
0.0248, 87.5741
0.0248, 93.58362
0.0229, 99.95993
0.0225, 107.1026
0.0229, 113.2949
0.0219, 119.904
0.0269, 127.7638
0.0278, 133.7003
0.0424, 137.5486
0.0245, 144.2854
0.0327, 151.2956
0.0239, 155.6725
0.0248, 159.474
0.0231, 165.8024
0.0238, 171.8237
0.0229, 174.8757
0.0327, 180.4487
0.0231, 185.1417
0.0267, 189.9245
0.0285, 190.6198
0.0212, 192.5969
0.0513, 193.9168
0.0332, 196.9878
0.0222, 197.9441
0.0206, 196.0777
0.0249, 200.7586
0.023, 201.8243
0.026, 201.7384
0.0222, 201.523
0.044, 201.1351
0.0329, 198.1935
0.0211, 201.6866
0.0351, 199.3466
0.0251, 200.0941
0.0223, 200.9855
0.0233, 196.1832
0.0304, 201.574
0.024, 201.9014
0.0213, 201.0361
0.0287, 202.8925
0.0236, 208.5355
0.0286, 213.6459
0.0224, 210.5947
0.0262, 211.3025
0.0294, 214.4176
0.0245, 216.6027
0.0243, 218.5782
0.0235, 219.1694
0.0437, 216.5908
0.0257, 215.2564
0.0302, 214.7983
0.0226, 213.8275
0.026, 214.5831
0.0273, 212.4929
0.0301, 212.2387
0.0226, 213.5982
0.0393, 211.1968
0.0223, 214.2604
0.0233, 215.9521
0.0264, 218.6194
0.0249, 220.3913
0.0248, 217.6972
0.0288, 221.6051
0.028, 223.4932
0.0288, 225.9137
0.0229, 228.4977
0.0256, 224.5581
0.0273, 227.1637
0.0231, 227.6421
0.0374, 229.0135
0.025, 229.3558
0.0236, 228.3139
0.0267, 231.5007
0.0214, 233.4541
0.0234, 225.1087
0.0247, 225.4635
0.0241, 227.5957
0.0283, 228.0865
0.0223, 227.7556
0.0222, 230.3663
0.0232, 229.8738
0.0253, 231.7335
0.0256, 230.1781
0.0309, 228.7437
0.0286, 230.5409
0.0242, 226.7979
0.0271, 228.4169
0.0261, 224.5998
0.0534, 222.1586
0.0343, 219.7324
0.0225, 219.7444
0.0265, 217.549
0.0273, 217.3261
0.0229, 211.5295
0.0248, 207.4429
0.0247, 205.1356
0.0251, 209.5987
0.0232, 202.5353
0.0248, 197.4299
0.0251, 196.0369
0.0249, 199.2491
0.0257, 204.2147
0.0218, 206.4956
0.0245, 210.8479
0.023, 214.5292
0.0306, 219.2567
0.0224, 222.2673
0.0482, 229.2049
0.0218, 228.764
0.0222, 234.8832
0.0225, 240.4481
0.0252, 241.0654
0.0273, 248.4505
0.0243, 247.9708
0.0223, 254.1516
0.0263, 259.738
0.0231, 264.9063
0.0267, 267.8712
0.0227, 272.4243
0.0233, 276.8841
0.0216, 279.2393
0.0274, 283.9407
0.0229, 285.6248
0.0294, 286.0529
0.0241, 285.6049
0.0245, 289.8344
0.024, 290.8759
0.0227, 294.0846
0.0207, 293.2212
0.0246, 296.2695
0.0295, 298.8488
0.0223, 300.6392
0.0683, 301.5761
0.0234, 301.1304
0.0253, 301.7011
0.0248, 292.0139
0.025, 284.9802
0.0257, 280.1635
0.0223, 275.939
0.025, 272.4372
0.0235, 268.2487
0.0226, 264.927
0.0246, 264.5025
0.022, 264.9207
0.0215, 264.8878
0.0222, 259.8939
0.0251, 261.1701
0.0224, 259.9631
0.0231, 255.2909
0.0242, 255.8808
0.0255, 252.9761
0.0243, 249.6705
0.0234, 250.1081
0.0302, 255.5529
0.0217, 260.3899
0.0252, 260.1669
0.0256, 260.3111
0.0242, 258.4606
0.0224, 260.1514
0.0258, 262.4966
0.0233, 265.7711
0.0267, 266.9206
0.0279, 268.7457
0.0235, 270.6133
0.0287, 275.6332
0.0257, 277.9045
0.0236, 281.0913
0.0262, 284.2228
0.0262, 287.4596
0.0299, 291.8929
0.0236, 291.4209
0.0287, 289.3714
0.0255, 286.9284
0.0247, 287.4124
0.0279, 283.6776
0.023, 287.2345
0.0213, 289.1595
0.0259, 292.4474
0.0263, 292.8312
0.0566, 290.7498
